,工程名稱,監造單位,施工廠商,施工期間,決標金額,重要公告,設計單位
2753,池上系統-萬朝深井機電工程,台灣自來水股份有限公司第十區管理處,宇博實業股份有限公司,民國107年08月18日至108年10月15日,"2,296千元",截至108年08月底實際進度：  95.00%,
2754,池上系統-福文村等巷道汰換管線工程(一),台灣自來水股份有限公司第十區管理處,碇瀛企業有限公司,民國107年10月08日至108年09月18日,"7,840千元",截至108年08月底實際進度：  99.00%,
2755,池上系統~福文村等巷道汰換管線工程(三),台灣自來水股份有限公司第十區管理處,勤達水電工程有限公司,民國108年06月20日至108年11月30日,"17,970千元",截至108年08月底實際進度：  24.80%,
2756,卑南溪池上堤段環境改善工程,經濟部水利署第八河川局,崧源營造有限公司,民國108年06月02日至109年01月27日,"42,480千元",截至108年08月底實際進度：  48.43%,
2757,卑南溪新興堤段環境改善工程,經濟部水利署第八河川局,國勢營造有限公司,民國108年06月02日至109年01月27日,"38,520千元",截至108年08月底實際進度：  34.62%,
2758,臺東觀光飛行啟蒙基地--想飛的夢工場建置計畫工程,葉世宗建築師事務所,吉騰營造有限公司,民國101年12月26日至102年05月24日,"34,730千元",截至108年08月底實際進度： 100.00%,
2759,縱谷四鄉鎮坡地灌溉蓄水池工程,造齊工程顧問有限公司,坤峯營造有限公司,民國108年07月22日至108年10月04日,"1,578千元",截至108年08月底實際進度：  63.65%,
2760,卡拿吾部部落文化健康站服務據點周邊公共設施改善工程(第二期),佳品工程顧問有限公司,順捷土木包工業,民國108年08月12日至108年10月10日,"3,800千元",截至108年08月底實際進度：  13.63%,
2761,鹿野鄉新良排水改善工程,佳品工程顧問有限公司,鑫浤土木包工業有限公司,民國108年07月07日至108年09月25日,"3,220千元",截至108年08月底實際進度：  60.00%,
2762,鹿野鄉自行車道提升服務品質工程,佳品工程顧問有限公司,億鉦營造有限公司,民國107年12月23日至108年04月21日,"14,690千元",截至108年08月底實際進度： 100.00%,
2763,東33線道路改善工程,佳品工程顧問有限公司,申甲營造工程有限公司,民國107年06月11日至107年11月07日,"26,100千元",截至108年08月底實際進度： 100.00%,
2764,108年度鹿野鄉各村道路及環境改善工程(開口契約),佳品工程顧問有限公司,國勢營造有限公司,民國108年05月17日至108年12月31日,"8,760千元",截至108年09月底實際進度：  60.30%,
2765,山領榴部落文化健康站服務據點周邊公共設施改善工程(第二期),佳品工程顧問有限公司,雄吟土木包工業有限公司,民國108年09月16日至108年12月04日,"1,643千元",截至年月底實際進度：(未填)%,
2766,鹿野大原地區在地產業服務場域改善工程,佳品工程顧問有限公司,上川土木包工業,民國108年09月01日至108年11月14日,"3,080千元",截至年月底實際進度：(未填)%,
2767,鹿野鄉永安地區農村景觀節點環境改善工程,駿昌工程顧問有限公司,總體營造有限公司,民國108年06月18日至108年10月19日,"6,190千元",截至108年09月底實際進度：  75.08%,
2768,花東縱谷鐵馬驛站友善環境設施工程,佳品工程顧問有限公司,祥裕土木包工業,民國108年08月16日至108年11月26日,"3,236千元",截至108年08月底實際進度：   0.22%,
2769,108年度池上-卑南系統遊憩服務設施保養暨修繕工作,交通部觀光局花東縱谷國家風景區管理處,宥興土木包工業(花蓮縣),民國108年01月01日至108年12月10日,"2,390千元",截至108年08月底實際進度：  70.10%,
2770,鹿野高台周邊公共服務設施改善工程,佳品工程顧問有限公司,上川土木包工業,民國108年09月16日至108年11月25日,"1,920千元",截至年月底實際進度：(未填)%,
2771,鹿野系統~瑞景路二段等巷道汰換管線工程,台灣自來水股份有限公司第十區管理處,山明工程行,民國108年08月26日至109年01月08日,"10,500千元",截至年月底實際進度：(未填)%,
2772,鹿野系統-紅葉取水口改善工程,台灣自來水股份有限公司第十區管理處,鈺鴻土木包工業（臺東縣）,民國108年08月06日至108年10月31日,"1,800千元",截至108年08月底實際進度：   1.00%,
2773,鹿野系統~瑞豐中山路至瑞景路四段等巷道汰換管線工程(一),台灣自來水股份有限公司第十區管理處,碇瀛企業有限公司,民國108年08月30日至109年01月08日,"11,640千元",截至年月底實際進度：(未填)%,
2774,炊場地坪及排水改善工程,尤世豪建築師事務所,國曜營造有限公司,民國108年06月09日至108年08月04日,"1,528千元",截至108年08月底實際進度： 100.00%,
2775,107年知本旅遊服務區市地重劃工程,創源技術顧問有限公司,志杰土木包工業,民國108年09月15日至108年12月03日,"2,530千元",截至年月底實際進度：(未填)%,
2776,東線DF038野溪上游治理工程,造齊工程顧問有限公司,台東市永盛土木包工業,民國108年07月01日至108年10月28日,"3,626千元",截至108年08月底實際進度：  93.73%,
2777,檳榔橋下游右岸堤防新建工程,造齊工程顧問有限公司,偉峻營造有限公司,民國108年04月08日至109年02月01日,"34,170千元",截至108年08月底實際進度：  39.79%,
2778,知本溫泉左岸二號堤防及溫泉國小堤防改善工程,造齊工程顧問有限公司,東捷營造有限公司,民國108年09月12日至109年04月08日,"21,358千元",截至年月底實際進度：(未填)%,
2779,107年8月豪雨豐田排水災害復建工程,名�痐u程顧問有限公司,高陸營造股份有限公司,民國108年02月11日至108年07月25日,"8,280千元",截至108年09月底實際進度： 100.00%,
2780,107年臺東縣縣鄉道道路改善工程,國興土木技師事務所,申甲營造工程有限公司,民國107年11月16日至108年03月08日,"14,000千元",截至108年08月底實際進度： 100.00%,
2781,108年度縣、鄉道路里程牌及相關標誌設施改善工程,佳品工程顧問有限公司,儒藝科技廣告有限公司,民國108年07月08日至108年09月05日,"1,284千元",截至108年09月底實際進度：  99.99%,
2782,197縣道50K~59K+640道路品質計畫改善工程,國興土木技師事務所,峻宸營造股份有限公司,民國108年07月12日至108年12月18日,"51,500千元",截至108年09月底實際進度：  20.01%,國興土木技師事務所
2783,108年197縣道邊坡割草維護工作,佳品工程顧問有限公司,冬青綠化股份有限公司,民國108年04月01日至109年03月31日,"3,080千元",截至108年08月底實際進度：  26.00%,
2784,197縣道36.9K~50K道路品質計畫改善工程,國興土木技師事務所,申甲營造工程有限公司,民國108年07月08日至108年12月19日,"47,699千元",截至108年09月底實際進度：  12.85%,國興土木技師事務所
2785,知本溫泉渡假專用區周邊路基填築整地工程,國興土木技師事務所,金坐營造有限公司,民國107年06月28日至108年12月31日,"4,730千元",截至108年08月底實際進度：   0.01%,
2786,溫泉橋改建工程(第二標),建業工程顧問有限公司,富鏵營造有限公司,民國106年01月15日至107年03月05日,"17,260千元",截至108年08月底實際進度： 100.00%,
2787,富山國小--校園排水系統改善工程,曾智霖建築師事務所,弓長土木包工業,民國108年07月09日至108年08月27日,"1,819千元",截至108年08月底實際進度： 100.00%,
2788,泰安村排水改善第二期工程,名�痐u程顧問有限公司,金金土木包工業,民國108年05月26日至108年07月24日,"2,360千元",截至108年08月底實際進度： 100.00%,
2789,107年8月豪雨-溫泉村H3類災後復建工程,名�痐u程顧問有限公司,金金土木包工業,民國108年03月04日至108年05月18日,"1,660千元",截至108年08月底實際進度： 100.00%,
2790,卑南鄉環村自行車道系統建置工程,佳品工程顧問有限公司,峻宸營造股份有限公司,民國107年12月18日至108年03月05日,"6,600千元",截至108年08月底實際進度： 100.00%,
2791,107年9月山竹颱風-泰安村H3類災害復建工程,名�痐u程顧問有限公司,申甲營造工程有限公司,民國108年03月04日至108年07月31日,"6,420千元",截至108年08月底實際進度：  85.35%,
2792,東興村比利良產業道路改善工程,名�痐u程顧問有限公司,聯基營造有限公司,民國107年12月19日至108年06月20日,"5,850千元",截至108年08月底實際進度： 100.00%,
2793,利吉9鄰野溪土砂防治工程,名�痐u程顧問有限公司,展茂營造有限公司,民國108年08月21日至109年01月17日,"3,679千元",截至108年08月底實際進度：   3.52%,
2794,溫泉村木瓜溪(鎮樂橋至千歲橋)清疏工程,名�痐u程顧問有限公司,鑫浤土木包工業有限公司,民國107年08月30日至107年12月25日,"2,250千元",截至108年08月底實際進度： 100.00%,
2795,卑南鄉泰安村大巴六九部落文化廣場新建工程,張嘉玲建築師事務所,春盛營造有限公司,民國108年08月13日至109年02月18日,"34,000千元",截至年月底實際進度：(未填)%,
2796,108年度太平農地重劃區利家段7190地號等農路改善工程,名�痐u程顧問有限公司,申甲營造工程有限公司,民國108年08月19日至108年10月07日,"4,998千元",截至108年08月底實際進度：   3.15%,
2797,太平坑魯瓦南橋上游加強維護工程,森堡工程技術顧問有限公司,明陽營造有限公司,民國108年07月30日至108年12月26日,"3,579千元",截至108年08月底實際進度：  21.00%,
2798,農東卑055、017及鹿鳴橋旁農路改善工程,造齊工程顧問有限公司,坤峯營造有限公司,民國108年06月29日至108年12月25日,"8,241千元",截至108年09月底實際進度：  74.00%,
2799,知本溫泉社區花海森林周邊環境改善工程,奕僑工程顧問有限公司,昕豐營造有限公司,民國108年08月01日至109年02月03日,"17,200千元",截至108年09月底實際進度：   0.00%,
2800,知本溪防洪設施加強五期工程,昱城工程顧問有限公司,鑫浤土木包工業有限公司,民國108年04月10日至108年10月19日,"4,310千元",截至108年09月底實際進度：  95.00%,
2801,知本林道4k-7k改善工程,造齊工程顧問有限公司,金金土木包工業,民國108年07月01日至108年11月20日,"2,900千元",截至108年09月底實際進度：  93.00%,
2802,知本森林遊樂區步道群設施改善工程,艾力肯創意生活有限公司,�筅f營造有限公司,民國108年04月08日至108年09月25日,"18,300千元",截至108年09月底實際進度：  92.20%,
2803,知本森林遊樂區入口意象及售票亭新建工程,宏鉅工程顧問有限公司,佑穎營造有限公司,民國108年04月04日至108年11月30日,"9,200千元",截至108年08月底實際進度：  30.00%,
2804,內溫泉崩塌地水土保持處理工程,造齊工程顧問有限公司,捷竣營造有限公司,民國108年05月27日至108年12月30日,"14,800千元",截至108年09月底實際進度：  16.38%,
2805,台9線357K+900~360K+000路面修復工程,交通部公路總局第三區養護工程處臺東工務段,建富營造股份有限公司,民國108年07月22日至108年10月20日,"13,670千元",截至108年09月底實際進度：  55.00%,
2806,台9線359k+060~+530間路段107年8月豪雨災害修復工程,交通部公路總局第三區養護工程處臺東工務段,聯基營造有限公司,民國108年08月26日至109年02月21日,"19,650千元",截至108年09月底實際進度：   5.00%,
2807,台東系統-富源第四加壓站管線汰換工程,台灣自來水股份有限公司第十區管理處,聯程企業有限公司,民國108年04月15日至108年09月30日,"6,960千元",截至108年08月底實際進度：  79.45%,
2808,台東系統-泰安淨水場濾池改善,台灣自來水股份有限公司第十區管理處,千菖有限公司,民國108年08月20日至109年01月06日,"2,720千元",截至108年08月底實際進度：   0.48%,
2809,台東系統~泰安淨水場機電改善工程,台灣自來水股份有限公司第十區管理處,宇博實業股份有限公司,民國108年09月10日至109年01月20日,"4,073千元",截至108年09月底實際進度：   3.00%,
2810,台東~馬蘭~豐里161kV線#6~#8、#11、#12、#14~#18鐵塔及台東~關山、志航69kV線#7鐵塔拆除工程,台灣電力股份有限公司輸變電工程處南區施工處,高陸營造股份有限公司,民國108年04月18日至109年01月31日,"10,800千元",截至108年08月底實際進度：  49.19%,
2811,106年度縱谷區六鄉鎮道路改善工程,國興土木技師事務所,承太營造有限公司,民國106年12月05日至107年04月04日,"45,480千元",截至108年08月底實際進度： 100.00%,
2812,197縣道13.4k~22.6k道路品質改善工程,國興土木技師事務所,申甲營造工程有限公司,民國108年05月29日至108年11月09日,"34,569千元",截至108年08月底實際進度：  17.07%,
2813,關山國小--關山地區單身教師聯合宿舍修繕工程,臺東縣關山鎮關山國民小學,祥裕土木包工業,民國108年07月08日至108年09月05日,"1,540千元",截至108年08月底實際進度：  97.54%,
2814,關山國小--廁所整修工程,臺東縣關山鎮關山國民小學,王朝土木包工業(臺東縣),民國108年05月06日至108年07月04日,"2,820千元",截至108年08月底實際進度：  99.90%,
2815,108年度重劃區緊急農水路改善工程,,健琳營造工程股份有限公司,民國108年09月03日至108年10月12日,"2,300千元",截至年月底實際進度：(未填)%,
2816,電光及德高部落排水設施改善工程,佳品工程顧問有限公司,義城土木包工業,民國108年04月25日至108年06月18日,925千元,截至108年08月底實際進度： 100.00%,
2817,豐泉相思林步道及農路改善工程,佳品工程顧問有限公司,雄吟土木包工業有限公司,民國108年08月27日至108年10月25日,"1,273千元",截至108年08月底實際進度：   0.85%,
2818,108年度關山鎮各里道路及環境改善工程（開口契約）,佳品工程顧問有限公司,昶順土木包工業臺東縣市,民國108年03月08日至108年12月31日,"2,360千元",截至108年08月底實際進度：  59.20%,
2819,關山鎮電光部落基礎環境設施改善工程,佳品工程顧問有限公司,台東縣啟程土木包工業,民國108年04月01日至108年07月04日,966千元,截至108年08月底實際進度： 100.00%,
2820,108年度關山鎮區域排水設施改善工程,佳品工程顧問有限公司,昕豐營造有限公司,民國108年06月09日至108年09月16日,"9,500千元",截至108年08月底實際進度：  52.00%,
2821,臺東縣消防局--關山大隊暨關山分隊增建工程,上力建築師事務所,崧源營造有限公司,民國108年04月30日至108年11月01日,"13,280千元",截至108年08月底實際進度：  55.00%,
2822,臺東縣消防局--關山大隊暨關山分隊增建工程--第1次變更設計--新增項目,上力建築師事務所,崧源營造有限公司,民國108年06月17日至108年12月20日,918千元,截至108年08月底實際進度：  52.00%,
2823,關山鎮豐泉社區食農體驗及友善環境周邊環境改善工程,漢璟工程顧問有限公司,祥裕土木包工業,民國108年05月07日至108年10月05日,"1,950千元",截至108年09月底實際進度：  97.82%,
2824,關山工務段轄區108年度省道預約暗溝排水設施疏濬工程,交通部公路總局第三區養護工程處關山工務段,佳宇環保實業有限公司,民國108年02月01日至108年10月31日,"3,005千元",截至108年09月底實際進度：  90.00%,
2825,台9線320K+046~357K+073及台20甲線0K+000~5K+714108年度綠美化維護工程,交通部公路總局第三區養護工程處關山工務段,利德土木包工業(花蓮縣瑞穗鄉),民國107年12月01日至108年10月31日,"6,170千元",截至108年09月底實際進度：  92.00%,
2826,台20線145K+905~208K+329108年度綠美化維護工程,交通部公路總局第三區養護工程處關山工務段,盛峰園藝企業行,民國107年12月01日至108年10月31日,"4,921千元",截至108年09月底實際進度：  92.00%,
2827,關山工務段108年度省道預約經常性交通設施標誌及標線(含標記)整修工程,交通部公路總局第三區養護工程處關山工務段,兆藝交通工程有限公司,民國107年11月21日至108年10月31日,"2,920千元",截至108年09月底實際進度：  92.00%,
2828,關山工務段轄區108年度省道預約經常性瀝青路面零星修補工程,交通部公路總局第三區養護工程處關山工務段,承太營造有限公司,民國107年11月28日至108年10月31日,"6,725千元",截至108年09月底實際進度：  92.00%,
2829,關山工務段108年度省道預約經常性公路零星修復工程,交通部公路總局第三區養護工程處關山工務段,建錡營造有限公司,民國108年03月20日至108年10月31日,"10,450千元",截至108年09月底實際進度：  87.00%,
2830,台9線349K+000~357K+073路面修復工程,交通部公路總局第三區養護工程處關山工務段,建富營造股份有限公司,民國108年09月16日至108年11月14日,"14,700千元",截至108年09月底實際進度：  27.00%,
2831,107年度關山工務段轄內道路周邊綠美化改善工程,交通部公路總局第三區養護工程處關山工務段,長億企業行,民國107年10月22日至108年12月27日,"3,247千元",截至108年09月底實際進度：  80.00%,
2832,108年度第三區養護工程處預約東部交控設備整修工程,交通部公路總局第三區養護工程處關山工務段,車流科技有限公司,民國107年12月16日至108年10月31日,"5,880千元",截至108年09月底實際進度：  91.00%,
2833,台9線331K+958~333K+900間路面修復工程,交通部公路總局第三區養護工程處關山工務段,健琳營造工程股份有限公司,民國108年09月10日至108年11月18日,"10,950千元",截至108年09月底實際進度：  32.00%,
2834,關山系統-關山鎮電光里9鄰廣興路延管工程,台灣自來水股份有限公司第十區管理處,欣晟水電工程行,民國108年01月09日至108年08月31日,"3,000千元",截至108年08月底實際進度： 100.00%,
2835,關山系統-日新、中慶、海端市區汰換管線工程,台灣自來水股份有限公司第十區管理處,榮陳科技股份有限公司,民國107年10月31日至108年09月30日,"20,295千元",截至108年08月底實際進度：  95.00%,
2836,關山S/S等變電所設備汰換工程,台灣電力股份有限公司台東區營業處,嘉杰工程有限公司,民國108年06月25日至108年10月22日,"10,185千元",截至108年09月底實際進度：  80.00%,
2837,108年度八河局（臺東縣）防汛備料補充及堆置場地改善工程,經濟部水利署第八河川局,捷竣營造有限公司,民國108年06月02日至108年10月29日,"20,300千元",截至108年08月底實際進度：  58.27%,
2838,紅石溪堤防(左岸二、三號)環境改善工程,經濟部水利署第八河川局,億鉦營造有限公司,民國108年03月13日至108年12月07日,"64,700千元",截至108年09月底實際進度：  55.86%,經濟部水利署第八河川局
2839,辦理PU跑道整修工程,張益霖建築師事務所,勁甬國際有限公司,民國108年07月04日至108年10月01日,"10,600千元",截至108年08月底實際進度：  65.55%,
2840,辦理綜合大樓老舊窗戶汰換工程,房角石土木技師事務所,東志達營造有限公司,民國108年07月24日至108年09月06日,"1,360千元",截至108年08月底實際進度：  90.84%,
2841,辦理教學大樓電力改善工程,鉅鎧機電技師事務所,謙臻科技股份有限公司,民國108年07月30日至108年09月17日,"2,250千元",截至108年08月底實際進度：  66.00%,
2842,辦理停車場整修工程,房角石土木技師事務所,鈺鴻土木包工業（臺東縣）,民國108年07月05日至108年08月23日,808千元,截至108年08月底實際進度：  98.00%,
2843,辦理教職員及學生宿舍整修工程,寬霖室內裝修設計企業社,東志達營造有限公司,民國108年05月05日至108年08月27日,"7,180千元",截至108年08月底實際進度： 100.00%,
2844,新建無障礙電梯工程,上力建築師事務所,昕豐營造有限公司,民國107年11月10日至108年03月30日,"3,060千元",截至108年08月底實際進度： 100.00%,
2845,冷凍科工場電力及地面改善工程,鉅鎧機電技師事務所,謙臻科技股份有限公司,民國108年07月24日至108年09月11日,"3,000千元",截至108年08月底實際進度：  80.00%,
2846,忠孝國小--博愛分校宜灣樓耐震能力補強工程,兩家土木技師事務所,王朝土木包工業(臺東縣),民國108年03月04日至108年07月05日,"4,070千元",截至108年08月底實際進度： 100.00%,
2847,信義國小--教學大樓防水工程,兩家土木技師事務所,東宇營造工程有限公司,民國108年06月17日至108年08月30日,"2,080千元",截至108年08月底實際進度： 100.00%,
2848,信義國小--教師宿舍修繕工程,兩家土木技師事務所,昶順土木包工業臺東縣市,民國108年06月19日至108年08月17日,818千元,截至108年08月底實際進度： 100.00%,
2849,新港國中--107年度活動中心防水隔熱工程,品冠設計工作室,東宇營造工程有限公司,民國108年05月08日至108年07月25日,"2,080千元",截至108年08月底實際進度： 100.00%,
2850,臺東縣成功鎮三仙里活動中心拆除重建工程,黃忠明建築師事務所,總體營造有限公司,民國108年05月22日至108年11月17日,"9,720千元",截至108年08月底實際進度：   8.57%,
2851,成功鎮玉水橋部落文化聚會所新建工程,林淦淵建築師事務所,坤峯營造有限公司,民國108年05月08日至108年10月04日,"5,120千元",截至108年08月底實際進度：   3.00%,
2852,臺東縣成功鎮火化場購置空氣污染防治設備統包工程,振鈞環境科技有限公司,開鴻環保工程股份有限公司,民國107年11月26日至108年08月31日,"12,549千元",截至108年08月底實際進度：  95.60%,
2853,臺東縣成功鎮多元照顧服務中心新建工程,黃忠明建築師事務所,億鉦營造有限公司,民國108年08月28日至109年07月22日,"36,000千元",截至年月底實際進度：(未填)%,
2854,108年臺東縣海岸線定期預約緊急處理與維護工程,造齊工程顧問有限公司,承義營造有限公司,民國108年03月27日至108年11月30日,"1,850千元",截至108年09月底實際進度：   0.00%,
2855,臺東工務段成功監工站轄區108年度省道預約經常性瀝青路面零星修補工程,交通部公路總局第三區養護工程處臺東工務段,承太營造有限公司,民國107年11月12日至108年10月31日,"9,246千元",截至108年09月底實際進度：  91.50%,
2856,臺東工務段成功監工站108年度省道預約經常性公路零星修復工程,交通部公路總局第三區養護工程處臺東工務段,安基營造有限公司,民國108年03月15日至108年10月31日,"9,060千元",截至108年09月底實際進度：  87.00%,
2857,臺東工務段成功監工站省道108年度綠美化維護工程,交通部公路總局第三區養護工程處臺東工務段,冠景企業社,民國107年12月01日至108年10月31日,"10,030千元",截至108年09月底實際進度：  91.00%,
2858,台11線117K+980~121K+820路面修復工程,交通部公路總局第三區養護工程處臺東工務段,申甲營造工程有限公司,民國108年08月01日至108年10月29日,"26,879千元",截至108年09月底實際進度：  58.00%,
2859,台11線108K+280~109K+640、113K+480~115K+020路面修復工程,交通部公路總局第三區養護工程處臺東工務段,達宸營造有限公司,民國108年08月01日至108年10月29日,"26,000千元",截至108年09月底實際進度：  45.75%,
2860,都歷月光海舞台周邊設施改善工程,天山景觀規劃設計有限公司,總體營造有限公司,民國108年06月24日至108年10月27日,"7,360千元",截至108年08月底實際進度：  33.32%,
2861,108年度台東區設施修繕工程(開口契約),交通部觀光局東部海岸國家風景區管理處,全州營造有限公司,民國108年03月22日至108年12月25日,"4,880千元",截至108年09月底實際進度：  92.75%,
2862,東部風景管理處自設加壓站工程,台灣自來水股份有限公司第十區管理處,宇博實業股份有限公司,民國108年03月05日至108年10月31日,"1,030千元",截至108年08月底實際進度：  90.00%,
2863,養殖場、專科教室、烘焙教室及實習旅館廁所改善工程,寬霖室內裝修設計企業社,東宇營造工程有限公司,民國108年06月14日至108年09月06日,"4,380千元",截至108年08月底實際進度：  78.42%,
2864,行政教學大樓西棟頂樓防漏工程,上力建築師事務所,東宇營造工程有限公司,民國108年07月31日至108年09月17日,"2,080千元",截至108年08月底實際進度：  68.00%,
2865,活動中心多功能地板改善工程,恩旭工程技術顧問有限公司,兄弟土木包工業(臺東縣成功鎮),民國108年08月07日至108年09月20日,"1,260千元",截至108年09月底實際進度： 100.00%,
2866,學生宿舍廁所、淋浴間、無障礙寢室及棒球隊宿舍屋頂防漏工程,寬霖室內裝修設計企業社,東宇營造工程有限公司,民國108年05月29日至108年10月01日,"8,280千元",截至108年08月底實際進度：  70.00%,
2867,巴步麓部落及南榮部落文化健康站友善空間整建及設施設備改善工程,潘智謙建築師事務所,三裕正營造有限公司,民國108年05月06日至108年09月02日,"5,870千元",截至108年08月底實際進度：   2.67%,
2868,卡大地布部落及馬蘭部落文化健康站友善空間整建及設施設備改善工程,潘智謙建築師事務所,立鑫土木包工業有限公司,民國107年12月27日至108年05月27日,"2,873千元",截至108年08月底實際進度： 100.00%,
2869,普悠瑪部落聚會所工程,潘智謙建築師事務所,建霖土木包工業,民國107年01月08日至107年06月22日,"4,480千元",截至108年08月底實際進度： 100.00%,
2870,石山部落及電光部落文化健康綜合服務據點友善空間改善補照工程,潘智謙建築師事務所,振勤土木包工業,民國108年01月24日至108年11月30日,"4,810千元",截至108年08月底實際進度：  30.42%,
2871,臺東美術館園區整地修繕工程,黃文榮建築師事務所,昶順土木包工業臺東縣市,民國108年03月29日至108年09月19日,"1,436千元",截至108年08月底實際進度： 100.00%,
2872,前瞻基礎建設--推動藝文專業場館升級計畫--臺東藝文中心暨臺東美術館整建計畫工程,黃文榮建築師事務所,亞鉦營造有限公司,民國108年04月25日至108年09月21日,"9,870千元",截至108年08月底實際進度：  98.44%,
2873,臺東美術館園區整地修繕工程,黃文榮建築師事務所,昶順土木包工業臺東縣市,民國108年03月29日至108年09月19日,"1,437千元",截至108年08月底實際進度： 100.00%,
2874,107年臺東市民權里日式建築文化園區修復再利用計畫-四維路1段689號、寶桑路404巷60弄1、3、5、7號修復工程,黃忠明建築師事務所,三裕正營造有限公司,民國108年09月24日至109年12月16日,"31,930千元",截至年月底實際進度：(未填)%,
2875,臺東市民權里日式建築文化園區修復再利用計畫-中山路154巷56、62及40、42號日式建築修復工程,黃忠明建築師事務所,三裕正營造有限公司,民國108年02月14日至109年10月01日,"36,912千元",截至108年08月底實際進度：  21.74%,
2876,108年臺東市民權里日式建築文化園區修復再利用計畫--中山路154巷34、36號、寶桑路370巷3號修復工程,林容聖建築師事務所,順裕營造有限公司,民國108年09月24日至109年12月16日,"36,610千元",截至年月底實際進度：(未填)%,
2877,藝文中心環境及設備整建改善工程,趙以諾建築師事務所,熊敏營造有限公司,民國107年03月10日至108年03月31日,"120,189千元",截至108年08月底實際進度：  95.00%,趙以諾建築師事務所
2878,107年臺東縣歷史建築地政事務所舊址（台東故事館）修繕計畫－臺東市博愛路478號工程,黃文榮建築師事務所,億鉦營造有限公司,民國108年05月06日至108年08月27日,"5,568千元",截至108年08月底實際進度： 100.00%,
2879,108年度既有建築節能改善擴大計畫--臺東縣政府社會處空調系統節能改善工程,祥榮工程技術顧問有限公司,聯欣事業有限公司,民國108年08月12日至108年10月10日,"1,290千元",截至108年08月底實際進度：  33.30%,
2880,臺東縣有機農特產品加工運銷計畫-集貨場新建工程,林坤層建築師事務所,鼎力興營造有限公司,民國107年10月01日至108年06月27日,"40,880千元",截至108年08月底實際進度：  89.37%,
2881,臺東縣有機農特產品加工運銷計畫-冷藏(凍)庫設備設置工程,林坤層建築師事務所,友賀工程股份有限公司,民國108年09月21日至109年03月20日,"17,282千元",截至108年08月底實際進度： 100.00%,
2882,富岡漁港災後復建工程（第2標）,精祥工程顧問有限公司,大洋造股份有限公司,民國108年06月06日至109年09月27日,"201,850千元",截至108年08月底實際進度：   2.11%,精祥工程顧問有限公司
2883,臺東縣聯合宿舍園區新建工程,鍾昇遠建築師事務所,新東錦營造有限公司,民國105年04月21日至106年10月15日,"106,600千元",截至108年09月底實際進度： 100.00%,鍾昇遠建築師事務所
2884,臺東縣政府公務大樓新建工程,林坤層建築師事務所,開楠營造有限公司,民國106年12月11日至108年09月02日,"88,845千元",截至108年09月底實際進度： 100.00%,林坤層建築師事務所
2885,臺東縣幸褔住宅工程營建(乙工區),鍾昇遠建築師事務所,明正營造有限公司,民國106年11月01日至108年10月03日,"412,000千元",截至108年08月底實際進度：  76.00%,鍾昇遠建築師事務所
2886,臺東縣環境保護局數位環保辦公廳舍新建工程,華兆建築師事務所,通義營造有限公司,民國108年08月10日至109年11月16日,"132,145千元",截至108年08月底實際進度：   0.66%,華兆建築師事務所
2887,臺東縣幸褔住宅工程營建(甲工區),鍾昇遠建築師事務所,明正營造有限公司,民國106年09月04日至108年10月18日,"339,500千元",截至108年08月底實際進度：  77.23%,鍾昇遠建築師事務所
2888,臺東縣安居家園新建工程,鍾昇遠建築師事務所,瑞誠營造有限公司,民國106年04月06日至107年12月03日,"170,000千元",截至108年08月底實際進度： 100.00%,鍾昇遠建築師事務所
2889,臺東分局暨中興派出所遷建計畫工程,鍾昇遠建築師事務所,開楠營造有限公司,民國107年07月01日至108年07月04日,"110,900千元",截至108年08月底實際進度：  24.14%,鍾昇遠建築師事務所
2890,山海鐵馬道鋪面及周遭環境改善工程,聯聖工程顧問股份有限公司,三裕正營造有限公司,民國108年02月26日至108年08月24日,"24,830千元",截至108年08月底實際進度： 100.00%,
2891,臺東縣寬頻管道(含雨水下水道)維護工程(開口契約),臺東縣政府建設處,高雄市翔富土木包工業,民國101年07月30日至101年12月31日,"2,448千元",截至108年08月底實際進度： 100.00%,
2892,臺東市雨水下水道系統G1下游幹線工程,造齊工程顧問有限公司,申甲營造工程有限公司,民國106年08月23日至107年03月04日,"5,595千元",截至108年08月底實際進度： 100.00%,
2893,臺東市四維路雨水下水道延伸工程,名�痐u程顧問有限公司,聯基營造有限公司,民國106年09月06日至107年01月03日,"11,650千元",截至108年08月底實際進度： 100.00%,
2894,臺東縣知本鐵路車站附近地區污水下水道系統管線工程--第一標,聯聖工程顧問股份有限公司,高輝營造工程股份有限公司,民國107年03月05日至109年12月31日,"257,000千元",截至108年08月底實際進度：  85.18%,聯聖工程顧問股份有限公司
2895,臺東市水資源回收中心第一期新建工程(含三年試運轉),聯聖工程顧問股份有限公司,台境企業有限公司,民國107年07月16日至109年03月31日,"260,580千元",截至108年08月底實際進度：  46.56%,聯聖工程顧問股份有限公司
2896,臺東市區天空計畫第2標工程,造齊工程顧問有限公司,瑞誠營造有限公司,民國107年10月22日至108年07月18日,"34,680千元",截至108年08月底實際進度：  51.63%,
2897,知本水資源回收中心放流水水質自動連續監測傳輸系統統包工程,聯聖工程顧問股份有限公司,富鈞水資股份有限公司,民國108年04月20日至108年08月20日,"2,443千元",截至108年08月底實際進度： 100.00%,
